#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
274,rent a car,租车,pt,22,14000,0.60,0.92,sixt,2025-10-20 15:09:54,"Local pack,Sitelinks,Thumbnail",511000,21000,22000,2015-09-01,"Commercial,Transactional,Non-branded,Non-local"
275,side,边,pt,0,14000,0.30,1.05,side,2025-10-21 00:45:19,Thumbnail,215000,15000,15000,2015-09-01,"Informational,Non-branded,Non-local"
276,como,作为,pt,13,13000,1.30,0.36,como,2025-10-21 05:21:27,Thumbnail,936000,3400,28000,2015-09-01,"Informational,Non-branded,Non-local"
277,chaves,查韦斯,pt,26,13000,0.15,0.33,chaves,2025-10-21 09:35:13,"Thumbnail,Sitelinks",287000,2200,2200,2015-09-01,"Informational,Non-branded,Local"
278,flight tracker,飞行追踪器,pt,88,13000,0.10,1.32,flight radar,2025-10-21 03:48:07,"Sitelinks,Thumbnail",2960000,177000,13070000,2015-09-01,"Informational,Non-branded,Non-local"
279,tenerife,特内里费岛,pt,3,13000,0.10,0.36,tenerife,2025-10-21 20:27:29,"Knowledge panel,People also ask,Thumbnail,Sitelinks",1070000,1000,2000,2015-09-01,"Informational,Non-branded,Local"
280,montenegro,黑山,pt,4,13000,0.20,0.36,montenegro,2025-10-19 00:04:19,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",1160000,1300,3500,2015-09-01,"Informational,Non-branded,Non-local"
281,lana del rey,国王的羊毛,pt,67,13000,0.10,0.56,lana del rey,2025-10-21 12:37:01,"Knowledge panel,Thumbnail,Sitelinks,Video preview",1540000,1700,9300,2015-09-01,"Informational,Non-branded,Non-local"
282,qr code generator,二维码生成器,pt,95,13000,0.35,1.39,qr code generator,2025-10-24 19:19:38,"Sitelinks,Video preview",3330000,12000,2670000,2015-09-01,"Transactional,Non-branded,Non-local"
283,podcast,播客,pt,28,13000,0.15,0.5,podcast,2025-10-20 10:30:02,"Sitelinks,Knowledge panel,People also ask",1790000,5400,5500,2015-09-01,"Informational,Non-branded,Non-local"
284,preco combustiveis,燃油价格,pt,20,13000,0.90,1.15,preço combustíveis próxima semana,2025-10-20 08:55:46,"Top stories,Thumbnail,Sitelinks,People also ask",13000,49000,49000,2015-09-01,"Informational,Non-branded,Non-local"
285,recibos verdes,绿色收据,pt,0,13000,0.30,1.08,recibos verdes,2025-10-20 23:59:25,"People also ask,Knowledge panel",14000,17000,17000,2015-09-01,"Informational,Non-branded,Non-local"
286,fernando daniel,费尔南多·丹尼尔,pt,1,13000,0.25,0.53,fernando daniel,2025-10-20 20:12:33,"Knowledge panel,People also ask,Top stories,Thumbnail,Video preview",16000,200,200,2015-09-15,"Informational,Non-branded,Non-local"
287,palacio da pena,宫殿很悲伤,pt,16,13000,0.25,0.6,palacio de pena,2025-10-21 14:55:13,"Sitelinks,People also ask,Video preview,Knowledge panel",27000,10000,13000,2015-09-01,"Informational,Non-branded,Non-local"
288,arouca,阿鲁卡,pt,25,13000,0.20,0.56,arouca,2025-10-21 08:55:24,"Thumbnail,Sitelinks,Knowledge panel,People also ask",37000,600,900,2015-09-01,"Informational,Non-branded,Local"
289,kayak,皮艇,pt,0,13000,0.10,0.92,kayak,2025-10-20 05:44:11,Sitelinks,3510000,8800,8800,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
290,copenhaga,哥本哈根,pt,0,13000,0.10,0.32,copenhagen,2025-10-21 22:26:17,"Knowledge panel,Thumbnail,People also ask,Sitelinks",27000,600,8400,2015-09-01,"Informational,Non-branded,Local"
291,porto moniz,莫尼什港,pt,3,13000,0.25,0.36,porto moniz madeira,2025-10-21 21:27:32,"Knowledge panel,Thumbnail,Sitelinks,People also ask",38000,800,800,2015-09-01,"Informational,Non-branded,Local"
292,lewis hamilton,刘易斯·汉密尔顿,pt,71,13000,0.90,0.58,hamilton,2025-10-24 12:09:17,"Top stories,Thumbnail,Knowledge panel,People also ask,Video preview",2010000,700,27000,2015-09-01,"Informational,Non-branded,Non-local"
293,açores,亚速尔群岛,pt,56,13000,0.10,0.48,azores,2025-10-21 01:48:56,"Thumbnail,People also ask,Knowledge panel,Top stories,Sitelinks",40000,3900,6000,2015-09-01,"Informational,Non-branded,Local"
294,maine coon,缅因浣熊,pt,0,13000,0.10,0.29,maine coon,2025-10-21 19:27:27,"Thumbnail,People also ask,Video preview",1960000,1300,10000,2015-09-01,"Informational,Non-branded,Non-local"
295,astrologia,占星学,pt,26,13000,0.45,0.96,astrologia,2025-10-18 23:21:17,"People also ask,Knowledge panel,Sitelinks",138000,10000,14000,2015-09-01,"Informational,Non-branded,Non-local"
296,valencia,巴伦西亚,pt,55,13000,0.15,0.27,valencia,2025-10-20 05:45:21,"Thumbnail,People also ask,Knowledge panel,Sitelinks",1170000,1100,3000,2015-09-01,"Informational,Non-branded,Local"
297,resultados futebol,足球比赛结果,pt,61,13000,0.15,1,meus resultados,2025-10-20 09:50:40,Sitelinks,29000,498000,617000,2015-09-01,"Informational,Non-branded,Non-local"
298,arcos de valdevez,瓦尔德韦斯拱门,pt,10,13000,0.20,0.39,arcos de valdevez,2025-10-21 00:58:31,"Thumbnail,Sitelinks,Knowledge panel",18000,2400,2400,2015-09-01,"Informational,Non-branded,Local"
299,feliz aniversário,生日快乐,pt,0,13000,0.10,0.29,feliz aniversário,2025-10-22 00:01:21,"Thumbnail,Sitelinks,Video preview",739000,10000,165000,2015-09-01,"Informational,Non-branded,Non-local"
300,pico do arieiro,阿里埃罗峰,pt,4,13000,0.45,0.41,pico do arieiro,2025-10-21 01:46:26,"Thumbnail,Knowledge panel,People also ask",40000,3400,3500,2015-09-01,"Informational,Non-branded,Non-local"
301,tradutor portugues frances,法语葡萄牙语翻译,pt,1,12000,0.15,0.2,tradutor,2025-10-21 20:30:50,Knowledge card,25000,180000,204000,2015-09-01,"Informational,Non-branded,Non-local"
302,geres,穿,pt,12,12000,0.20,0.53,geres,2025-10-20 01:37:37,"People also ask,Thumbnail,Bottom ads,Paid sitelinks",19000,2800,2800,2015-09-01,"Informational,Non-branded,Local"
303,benefício,益处,pt,0,12000,0.20,0.44,benefício,2025-10-21 01:01:47,People also ask,47000,450,450,2015-10-16,"Informational,Non-branded,Non-local"
304,yves saint laurent,伊夫·圣洛朗,pt,50,12000,0.20,0.53,ysl,2025-10-25 00:37:03,"Sitelinks,Thumbnail,Shopping,Video preview",877000,5100,696000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
305,pi,圆周率,pt,1,12000,0.40,0.43,pi,2025-10-24 01:57:15,"Knowledge card,Thumbnail,People also ask,Sitelinks,Video preview",2170000,2600,16000,2015-09-01,"Informational,Non-branded,Non-local"
306,808 score,808分,pt,79,12000,0.30,,score808,2025-10-24 15:42:51,"Video preview,Sitelinks",103000,44000,4280000,2021-11-07,"Informational,Non-branded,Non-local"
307,covilhã,科维良,pt,10,12000,0.20,0.38,covilhã,2025-10-21 17:44:05,"Thumbnail,Sitelinks,Knowledge panel,People also ask,Top stories",15000,3200,3500,2015-09-01,"Informational,Non-branded,Local"
308,pilates,普拉提,pt,6,12000,0.35,0.57,pilates gaia,2025-10-20 16:33:49,"Thumbnail,Local pack,Knowledge panel,People also ask,Video preview",1790000,100,100,2015-09-01,"Informational,Non-branded,Non-local"
309,afasia,失语症,pt,3,12000,1.60,0.61,afasia,2025-10-19 07:33:04,"Thumbnail,People also ask,Knowledge panel",213000,3700,5500,2015-09-01,"Informational,Non-branded,Non-local"
310,gavi,全球免疫联盟,pt,24,12000,0.15,0.31,gavi,2025-10-20 01:15:24,"Thumbnail,Knowledge panel,People also ask",667000,1100,9600,2015-11-07,"Informational,Non-branded,Non-local"
311,manifestação de interesse,表达兴趣,pt,0,12000,0.35,1.04,manifestação de interesse,2025-10-20 16:58:52,"Sitelinks,People also ask",12000,16000,16000,2015-09-17,"Informational,Non-branded,Non-local"
312,torre de belem,贝伦塔,pt,21,12000,0.35,0.53,torre de belem,2025-10-22 00:04:17,"Thumbnail,People also ask,Knowledge panel,Video preview",38000,7300,7900,2015-09-01,"Informational,Non-branded,Non-local"
313,amen,阿门,pt,0,12000,0.10,1.02,amen,2025-10-21 10:26:29,"Sitelinks,People also ask,Knowledge panel",159000,14000,14000,2015-09-01,"Informational,Non-branded,Non-local"
314,fenix,菲尼克斯,pt,6,12000,0.45,0.68,fenix,2025-10-21 03:42:49,People also ask,300000,3200,3300,2015-09-01,"Informational,Non-branded,Non-local"
315,euribor 6 meses,欧元同业拆借利率 6 个月,pt,3,12000,0.35,1.14,euribor 6 meses,2025-10-21 04:22:35,People also ask,17000,21000,21000,2015-09-01,"Informational,Non-branded,Non-local"
316,nice,好的,pt,7,12000,0.10,0.46,nice,2025-10-19 17:13:33,"Knowledge panel,Thumbnail,Sitelinks,Top stories",919000,4000,6900,2015-09-01,"Informational,Non-branded,Local"
317,removedor de fundo,背景去除剂,pt,9,12000,0.60,,remover fundo,2025-10-24 15:42:34,"Sitelinks,Video preview",306000,42000,2140000,2016-03-21,"Informational,Non-branded,Non-local"
318,nazaré,拿撒勒,pt,23,12000,0.15,0.44,nazaré,2025-10-24 10:36:13,"Knowledge panel,Thumbnail,Sitelinks,Top stories,People also ask,Video preview",50000,1800,3000,2015-09-01,"Informational,Non-branded,Local"
319,sofas,沙发,pt,6,12000,0.15,1.57,sofas,2025-10-22 01:24:26,"Shopping,Thumbnail,Sitelinks",202000,6800,6800,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
320,classificados xxx,分类xxx,pt,21,12000,0.20,1.37,classificadosx,2025-10-22 01:34:57,Sitelinks,12000,376000,391000,2015-09-04,"Informational,Commercial,Non-branded,Non-local"
321,picanha,臀肉牛排,pt,0,12000,0.10,0.39,picanha,2025-10-24 08:46:09,"Shopping,Thumbnail,People also ask,Video preview",371000,1000,3300,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
322,salamanca,萨拉曼卡,pt,1,12000,0.20,0.37,salamanca,2025-10-21 13:54:12,"Thumbnail,People also ask,Knowledge panel,Sitelinks",199000,3100,3800,2015-09-01,"Informational,Non-branded,Local"
323,gibraltar,直布罗陀,pt,61,12000,0.15,0.46,gibraltar,2025-10-24 12:52:01,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories,Video preview",612000,800,2300,2015-09-01,"Informational,Non-branded,Local"
324,londres,伦敦,pt,6,12000,0.10,0.43,londres,2025-10-21 00:59:13,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",472000,800,13000,2015-09-01,"Informational,Non-branded,Local"
325,multa,更多的,pt,1,12000,0.20,0.39,portal das contraordenações,2025-10-20 08:54:56,"Top stories,Thumbnail,Knowledge panel,People also ask",244000,10000,10000,2015-09-12,"Informational,Non-branded,Non-local"
326,shakira,夏奇拉,pt,76,12000,0.20,0.54,shakira,2025-10-21 16:21:04,"Knowledge panel,Top stories,Thumbnail,Sitelinks,People also ask,Video preview",2050000,1000,12000,2015-09-01,"Informational,Non-branded,Non-local"
327,notre dame,圣母,pt,83,12000,0.30,0.64,catedral notre dame,2025-10-21 20:42:07,"Sitelinks,Knowledge panel,Top stories,Thumbnail,People also ask,Video preview",1180000,1600,135000,2015-09-01,"Informational,Non-branded,Non-local"
328,santuario de fatima,法蒂玛圣殿,pt,12,12000,0.20,0.93,santuario de fatima,2025-10-21 15:37:02,"Sitelinks,Knowledge panel,Video preview",21000,16000,19000,2015-09-01,"Informational,Non-branded,Non-local"
329,porto covo,科武港,pt,15,12000,0.20,0.41,porto covo,2025-10-22 00:39:46,"Thumbnail,Knowledge panel,Sitelinks",20000,2800,2800,2015-09-01,"Informational,Non-branded,Local"
330,carolina herrera,卡罗琳娜·海雷拉,pt,6,12000,0.10,0.78,carolina herrera,2025-10-20 16:38:12,"Sitelinks,Shopping,Thumbnail",727000,8400,8500,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
331,letras diferentes,不同的字母,pt,19,12000,1.30,1.09,letras diferentes,2025-10-21 03:42:46,"Sitelinks,Knowledge panel,Video preview",722000,19000,1200000,2015-09-01,"Informational,Non-branded,Non-local"
332,punta cana,蓬塔卡纳,pt,0,12000,0.10,0.35,punta cana,2025-10-22 01:58:55,"Knowledge panel,People also ask,Thumbnail,Sitelinks",997000,1600,1600,2015-09-01,"Informational,Non-branded,Local"
333,casinos portugal,葡萄牙赌场,pt,84,12000,0.60,1.12,casino online,2025-10-21 19:27:30,"Sitelinks,Thumbnail",13000,33000,38000,2015-09-24,"Informational,Commercial,Non-branded,Local"
334,vila real,皇家村,pt,31,12000,0.20,0.34,vila real portugal,2025-10-21 02:33:24,"Knowledge panel,Top stories,Thumbnail,Sitelinks,People also ask",34000,300,6200,2015-09-01,"Informational,Non-branded,Local"
335,tvde,在电视上,pt,0,12000,0.20,0.84,tvde motorista,2025-10-20 22:51:58,"People also ask,Knowledge panel,Sitelinks",14000,0,0,2015-09-08,"Informational,Non-branded,Non-local"
336,abrantes,阿布兰特斯,pt,4,12000,0.20,0.4,abrantes,2025-10-20 22:49:39,"Sitelinks,People also ask,Thumbnail,Top stories",15000,3500,3500,2015-09-01,"Informational,Non-branded,Local"
337,pascoa,复活节,pt,9,12000,0.10,0.37,pascoa,2025-10-21 20:09:33,"Knowledge card,People also ask,Thumbnail,Sitelinks,Knowledge panel",149000,1900,16000,2015-09-01,"Informational,Non-branded,Non-local"
338,receitas,收入,pt,25,12000,0.10,0.77,receitas,2025-10-13 02:08:56,"Top stories,Thumbnail,Sitelinks,Video preview",104000,3000,3000,2015-09-01,"Informational,Non-branded,Non-local"
339,wh,何,pt,10,12000,0.25,0.9,whatsapp web,2025-10-21 22:32:04,Sitelinks,1710000,1680000,588600000,2015-09-01,"Navigational,Non-branded,Non-local"
340,irlanda,爱尔兰,pt,0,12000,0.10,0.41,irlanda,2025-10-21 03:26:54,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",405000,1300,8400,2015-09-01,"Informational,Non-branded,Non-local"
341,retinol,视黄醇,pt,0,12000,0.35,0.66,retinol,2025-10-18 15:27:29,"Shopping,Thumbnail,People also ask,Knowledge panel",1010000,900,900,2015-09-11,"Informational,Commercial,Non-branded,Non-local"
342,eur usd,欧元美元,pt,56,12000,0.60,0.5,eur usd,2025-10-18 04:27:19,Sitelinks,575000,12000,12000,2015-09-03,"Informational,Non-branded,Non-local"
343,guarda,警卫,pt,3,12000,0.60,0.41,guarda portugal,2025-10-24 15:35:43,"Knowledge panel,Thumbnail,Sitelinks,Video preview",52000,500,800,2015-09-01,"Informational,Non-branded,Local"
344,b,乙,pt,31,12000,0.15,0.31,b,2025-10-21 21:26:37,"AI Overview,Thumbnail,Knowledge panel,Video preview",4980000,2600,20000,2015-09-01,"Informational,Non-branded,Non-local"
345,scarlett johansson,斯嘉丽·约翰逊,pt,51,12000,2.00,0.27,scarlett johansson,2025-10-24 10:36:03,"Knowledge panel,Thumbnail,Video preview",2800000,1100,5300,2015-09-01,"Informational,Non-branded,Non-local"
346,lamego,拉梅戈,pt,14,12000,0.15,0.43,lamego,2025-10-21 09:34:47,"Knowledge panel,Thumbnail,Sitelinks,People also ask",20000,1300,1400,2015-09-01,"Informational,Non-branded,Local"
347,sao martinho do porto,波尔图圣马蒂纽,pt,4,12000,0.15,0.4,sao martinho do porto,2025-10-20 15:10:45,"Thumbnail,Knowledge panel,Sitelinks",18000,6700,7500,2015-09-01,"Informational,Non-branded,Local"
348,po,后,pt,0,12000,0.25,0.33,po,2025-10-19 04:07:54,People also ask,1990000,1100,1100,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
349,arroz de pato,鸭饭,pt,0,12000,0.10,1.34,arroz de pato,2025-10-21 15:05:30,"Thumbnail,Video preview",20000,5000,5700,2015-09-01,"Informational,Non-branded,Non-local"
350,ramen,拉面,pt,0,12000,0.20,0.34,ramen,2025-10-21 00:50:30,"People also ask,Thumbnail,Video preview",1730000,1000,4600,2015-09-02,"Informational,Non-branded,Non-local"
351,marbella,马贝拉,pt,0,11000,0.20,0.28,marbella hotel,2025-10-21 23:00:38,"Knowledge panel,Thumbnail,People also ask",513000,350,350,2015-09-01,"Informational,Non-branded,Local"
352,toulouse,图卢兹,pt,12,11000,0.15,0.28,toulouse,2025-10-21 23:52:57,"Thumbnail,People also ask,Knowledge panel,Sitelinks",508000,2000,2900,2015-09-01,"Informational,Non-branded,Local"
353,contribuinte,纳税人,pt,5,11000,0.50,0.49,nif,2025-10-21 01:51:52,Knowledge panel,80000,9800,10000,2015-09-01,"Informational,Non-branded,Non-local"
354,inglaterra,英格兰,pt,8,11000,0.10,0.34,inglaterra,2025-10-21 01:53:03,"Thumbnail,Sitelinks,People also ask,Top stories",359000,1500,20000,2015-09-01,"Informational,Non-branded,Non-local"
355,maria botelho moniz,玛丽亚·博特略·莫尼兹,pt,0,11000,0.15,0.72,maria botelho moniz,2025-10-21 22:06:49,"Top stories,Thumbnail,Knowledge panel,Video preview",12000,1400,1400,2015-09-01,"Informational,Non-branded,Non-local"
356,preço combustiveis,燃油价格,pt,20,11000,1.10,1.18,preços combustíveis,2025-10-19 22:47:54,"Top stories,Thumbnail,Sitelinks,People also ask",11000,56000,56000,2015-09-01,"Informational,Non-branded,Non-local"
357,sapatilhas homem,男士运动鞋,pt,0,11000,0.15,0.78,sapatilhas homem,2025-10-21 01:29:39,"Thumbnail,Sitelinks,Shopping",11000,5500,5600,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
358,preço grama ouro hoje portugal,今日葡萄牙金克价格,pt,1,11000,0.20,,preço grama ouro hoje portugal,2025-10-20 15:08:28,"AI Overview,Thumbnail,Sitelinks,People also ask",11000,26000,27000,2017-04-22,"Informational,Non-branded,Local"
359,validar faturas,验证发票,pt,1,11000,1.20,1.11,validar faturas,2025-10-24 20:28:42,"Sitelinks,People also ask,Video preview,Thumbnail",12000,26000,26000,2015-09-05,"Informational,Non-branded,Non-local"
360,criptomoeda,加密货币,pt,48,11000,1.00,0.83,criptomoedas,2025-10-21 02:43:33,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks",49000,1100,9600,2016-03-25,"Informational,Non-branded,Non-local"
361,zendaya,这条链,pt,67,11000,0.60,0.34,zendaya,2025-10-21 08:52:16,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",2790000,1200,9600,2015-09-01,"Informational,Non-branded,Non-local"
362,sondagem,轮询,pt,0,11000,0.45,0.88,sondagens legislativas,2025-10-22 00:01:04,"Top stories,Thumbnail,Sitelinks,Knowledge panel",17000,31000,32000,2015-09-02,"Informational,Non-branded,Non-local"
363,mau tempo em portugal próximos dias,葡萄牙未来几天天气恶劣,pt,34,11000,0.10,,meteorologia,2025-10-20 13:47:07,"Sitelinks,People also ask",12000,405000,415000,2020-04-20,"Informational,Non-branded,Local"
364,chernobyl,切尔诺贝利,pt,7,11000,1.10,0.6,chernobyl,2025-10-21 00:45:22,"Sitelinks,People also ask,Knowledge panel",1520000,5300,49000,2015-09-01,"Informational,Non-branded,Non-local"
365,mosteiro dos jerónimos,热罗尼莫斯修道院,pt,11,11000,0.25,0.55,mosteiro dos jerónimos,2025-10-21 02:18:32,"Thumbnail,Knowledge panel,People also ask,Video preview",24000,7600,9900,2015-09-02,"Informational,Non-branded,Non-local"
366,primavera,普里马韦拉,pt,28,11000,0.80,0.49,primavera,2025-10-20 08:56:57,"Thumbnail,Sitelinks,People also ask",574000,3200,12000,2015-09-01,"Informational,Non-branded,Non-local"
367,torres novas,新塔,pt,11,11000,0.10,0.3,torres novas,2025-10-25 00:36:44,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",12000,250,250,2015-09-01,"Informational,Non-branded,Local"
368,santiago de compostela,圣地亚哥·德·孔波斯特拉,pt,2,11000,0.20,0.41,santiago de compostela,2025-10-24 12:09:17,"People also ask,Thumbnail,Sitelinks,Video preview,Knowledge panel",200000,900,2900,2015-09-01,"Informational,Non-branded,Local"
369,sex shop,性用品店,pt,33,11000,0.40,1.44,sex shop,2025-10-21 12:28:12,,468000,21000,21000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
370,etf,ETF,pt,18,11000,0.90,0.68,etf,2025-10-22 01:34:51,"AI Overview,Thumbnail,People also ask,Knowledge panel",855000,2600,4800,2015-09-01,"Informational,Non-branded,Non-local"
371,bomba de calor,热泵,pt,0,11000,0.10,1.27,bomba de calor,2025-10-21 01:03:08,"People also ask,Shopping,Thumbnail,Sitelinks",30000,3200,3300,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
372,real euro,真实欧元,pt,19,11000,1.00,0.55,real para euro,2025-10-22 00:03:48,,29000,79000,105000,2015-09-01,"Informational,Non-branded,Non-local"
373,se,和,pt,1,11000,0.50,0.3,se,2025-10-21 05:21:46,"People also ask,Video preview,Sitelinks",1520000,1700,1900,2015-09-01,"Informational,Non-branded,Non-local"
374,dublin,都柏林,pt,24,11000,0.15,0.3,dublin,2025-10-24 15:42:55,"Top stories,Thumbnail,Knowledge panel,People also ask,Sitelinks,Video preview",731000,1500,3800,2015-09-01,"Informational,Non-branded,Local"
375,piscina,水池,pt,10,11000,0.10,0.36,piscinas,2025-10-20 22:59:49,"Shopping,Thumbnail,Sitelinks",406000,6600,6600,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
376,kebab,烤肉串,pt,0,11000,0.15,0.31,kebab,2025-10-20 13:56:14,"People also ask,Thumbnail",965000,1100,1600,2015-09-01,"Informational,Non-branded,Non-local"
377,queda do muro de berlim,柏林墙倒塌,pt,5,11000,2.50,0.29,queda do muro de berlim,2025-10-20 22:46:12,"Sitelinks,People also ask,Knowledge panel",119000,900,7700,2015-09-01,"Informational,Non-branded,Non-local"
378,translate portuguese,翻译葡萄牙语,pt,22,11000,0.35,0.18,tradutor,2025-10-21 23:58:49,Knowledge card,15000,180000,204000,2015-09-10,"Informational,Non-branded,Non-local"
379,terramoto,地震,pt,16,11000,0.90,0.34,sismos de última hora hoje,2025-10-19 07:28:51,"Top stories,Sitelinks,People also ask",12000,58000,59000,2015-09-01,"Informational,Non-branded,Non-local"
380,eczema,湿疹,pt,3,11000,0.25,0.59,eczema,2025-10-21 15:05:38,"Thumbnail,People also ask,Knowledge panel",1740000,2700,3100,2015-09-01,"Informational,Non-branded,Non-local"
381,rato,老鼠,pt,4,11000,0.20,0.45,ratos,2025-10-22 02:19:34,"Thumbnail,Sitelinks,People also ask",106000,200,4600,2015-09-01,"Informational,Non-branded,Non-local"
382,marraquexe,马拉喀什,pt,2,11000,0.15,0.42,marraquexe,2025-10-24 00:59:10,"Knowledge panel,People also ask,Thumbnail,Video preview",15000,900,1800,2015-09-01,"Informational,Non-branded,Local"
383,bob dylan,鲍勃·迪伦,pt,57,11000,0.15,0.62,bob dylan filhos,2025-10-24 21:36:04,"Thumbnail,Sitelinks,People also ask,Video preview,Knowledge panel",1110000,250,4800,2015-09-01,"Informational,Non-branded,Non-local"
384,bruxelas,布鲁塞尔,pt,4,11000,0.20,0.43,bruxelas,2025-10-24 20:09:44,"Thumbnail,People also ask,Sitelinks,Top stories,Video preview,Knowledge panel",41000,1900,5000,2015-09-01,"Informational,Non-branded,Local"
385,internet,互联网,pt,24,11000,0.70,0.43,internet,2025-10-22 01:38:33,"Top stories,Thumbnail,Sitelinks,Bottom ads,Paid sitelinks",1420000,1100,13000,2015-09-01,"Informational,Non-branded,Non-local"
386,matcha,抹茶,pt,2,11000,0.70,0.65,matcha,2025-10-20 13:36:47,"People also ask,Shopping,Thumbnail",1950000,1300,10000,2015-09-01,"Informational,Non-branded,Non-local"
387,pagamento,支付,pt,0,11000,0.35,0.62,seguridade social,2025-10-19 22:08:02,"Top stories,Thumbnail,People also ask",134000,13000,13000,2015-09-01,"Informational,Non-branded,Non-local"
388,pneus,轮胎,pt,15,11000,0.10,1.17,pneus online,2025-10-24 20:32:40,"Thumbnail,Sitelinks,Shopping,Video preview",130000,10000,10000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
389,estrasburgo,斯特拉斯堡,pt,0,11000,0.15,0.34,estrasburgo,2025-10-21 00:47:03,"Thumbnail,People also ask,Knowledge panel,Sitelinks,Video preview",85000,1300,2600,2015-09-01,"Informational,Non-branded,Local"
390,assistente administrativo,行政助理,pt,0,11000,0.30,0.67,net empregos seixal,2025-10-21 00:02:28,People also ask,54000,0,0,2015-09-01,"Informational,Non-branded,Non-local"
391,cortes de cabelo 2024 feminino,2024年女士发型,pt,0,11000,0.15,,cortes de cabelo 2024,2025-10-19 07:28:36,"Thumbnail,People also ask,Video preview",23000,3300,7900,2023-06-13,"Informational,Non-branded,Non-local"
392,mousse de chocolate,巧克力慕斯,pt,0,11000,0.10,1.2,mousse de chocolate,2025-10-21 17:26:47,"Top stories,Thumbnail,Video preview",98000,6500,6900,2015-09-01,"Informational,Non-branded,Non-local"
393,het weer morgen,明天的天气,pt,55,11000,0.15,,het weer morgen,2025-10-24 17:57:46,"People also ask,Sitelinks",3120000,4300,6700,2016-07-02,"Informational,Non-branded,Non-local"
394,combustíveis,燃料,pt,5,11000,0.10,0.88,bombas de gasolina,2025-10-21 16:07:40,"Top stories,Thumbnail,Sitelinks,People also ask",15000,300,300,2015-09-04,"Informational,Non-branded,Non-local"
395,covid,冠状病毒,pt,39,11000,0.25,,covid portugal,2025-10-24 06:46:19,"Top stories,Thumbnail,People also ask,Video preview",647000,10000,15000,2016-05-02,"Informational,Non-branded,Non-local"
396,pai,拜县,pt,4,11000,0.45,0.77,pai,2025-10-20 15:09:20,"Top stories,Thumbnail,People also ask",193000,8000,11000,2015-09-01,"Informational,Non-branded,Non-local"
397,chihuahua,奇瓦瓦州,pt,1,11000,1.00,0.44,chihuahua,2025-10-24 17:57:49,"Thumbnail,Sitelinks,Knowledge panel",1380000,4200,37000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
398,maria cerqueira gomes,玛丽亚·塞尔奎拉·戈麦斯,pt,0,11000,0.45,0.86,maria cerqueira gomes,2025-10-13 01:20:07,"Top stories,Thumbnail,People also ask,Knowledge panel,Video preview",16000,2100,2200,2015-09-01,"Informational,Non-branded,Non-local"
399,vizela,维泽拉,pt,16,11000,0.20,0.43,vizela,2025-10-21 05:19:26,"Thumbnail,People also ask",26000,3100,3100,2015-09-01,"Informational,Non-branded,Local"
400,lingerie,内衣,pt,5,11000,0.20,0.84,langerie femininas,2025-10-24 15:41:43,"Sitelinks,Shopping,Thumbnail,Video preview",1280000,500,500,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
401,portimao,波尔蒂芒,pt,25,11000,0.25,0.38,portimão,2025-10-22 01:48:47,"Knowledge panel,Thumbnail,Sitelinks",78000,1600,1700,2015-09-01,"Informational,Non-branded,Local"
402,berlengas,无袖的,pt,30,11000,0.20,0.66,berlengas,2025-10-21 22:24:19,"Thumbnail,Sitelinks,People also ask,Knowledge panel",17000,2900,3100,2015-09-01,"Informational,Non-branded,Local"
403,alcobaça,阿尔科巴萨,pt,12,11000,0.10,0.39,alcobaça,2025-10-22 00:01:56,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Top stories",20000,1600,1800,2015-09-01,"Informational,Non-branded,Local"
404,casino portugal online,葡萄牙在线赌场,pt,87,11000,8.00,1.31,casino portugal,2025-10-19 03:26:37,"Sitelinks,Bottom ads",13000,78000,85000,2015-12-07,"Informational,Commercial,Transactional,Non-branded,Local"
405,reais para euro,雷亚尔兑欧元,pt,2,11000,0.60,0.75,real para euro,2025-10-21 05:21:30,,12000,79000,105000,2015-09-01,"Informational,Non-branded,Non-local"
